,tweetid,tweet,lan_tag,ftid,sentiment
0,1134675263231410177,RT @UAAPconfessions Love looks good on Maddie!!! Ako lang ba yung sobrang masaya kasi may zolo sya? Before with the past Z medyo lowkey s…,RT\Eng @\O UAAPconfessions\Eng Love\Eng looks\Eng good\Eng on\Eng Maddie\Eng !!!\O Ako\Eng lang\Eng ba\Eng yung\Eng sobrang\Eng masaya\Hin kasi\Hin may\Hin zolo\Eng sya\Eng ?\O Before\Eng with\Eng the\Eng past\Eng Z\Hin medyo\Eng lowkey\Eng s\Eng …\O ,8,neutral
1,1134678405532868608,Ye Ye.....ye??????? We gonna start another June on a sour note? Uhhhh yes no yes......no (yes),Ye\Hin Ye\Hin .....\O ye\Hin ???????\O We\Hin gonna\Hin start\Eng another\Eng June\Eng on\Eng a\Eng sour\Eng note\Eng ?\O Uhhhh\Hin yes\Hin no\Eng yes\Hin ......\O no\Eng (\O yes\Hin )\O ,12,neutral
2,1130867057371693056,@zWffFY9JGklElA1 @Min_Of_Lyching @thakurdadu089 @manakgupta @OfficeOfKNath Mein kahna nae chahta qki mere Yaha btay… https//tco/JWSdvvomt8,@\O zWffFY9JGklElA1\Eng @\O Min\Eng _\O Of\Hin _\O Lyching\Eng @\O thakurdadu089\Eng @\O manakgupta\Eng @\O OfficeOfKNath\Hin Mein\Hin kahna\Hin nae\Hin chahta\Hin qki\Hin mere\Hin Yaha\Hin btay\Hin …\O https\Eng //\O tco\Eng /\O JWSdvvomt8\Eng ,14,neutral
3,1134866547090968576,~ Caring. ~ Bohot Jyada Caring. ~ Courier wale bsdk ke sign bhi khud hi krlete h mera.,~\O Caring\Eng .\O ~\O Bohot\Hin Jyada\Hin Caring\Eng .\O ~\O Courier\Eng wale\Eng bsdk\Hin ke\Hin sign\Hin bhi\Hin khud\Hin hi\Hin krlete\Hin h\Hin mera\Hin .\O ,23,negative
4,1134500597275799554,@AliHZaidiPTI @SarfarazA_54 What nonesense... Kabhi baymani per bani team kamiyab nahi ho sakti... Jo log apnay liy… https//t.co/al1WFCUTYy,@\O AliHZaidiPTI\Hin @\O SarfarazA\Hin _\O 54\O What\Hin nonesense\Eng ...\O Kabhi\Hin baymani\Hin per\Eng bani\Hin team\Eng kamiyab\Hin nahi\Hin ho\Hin sakti\Hin ...\O Jo\Hin log\Hin apnay\Hin liy\Hin …\O https\Eng //\O t\Eng .\O co\Eng /\O al1WFCUTYy\Eng ,24,positive
5,1131366406220525569,@imVkohli Best of luck @imVkohli sir World Cup ke liye bhot bhot subhkamnaye,@\O imVkohli\Eng Best\Eng of\Eng luck\Eng @\O imVkohli\Hin sir\Hin World\Eng Cup\Hin ke\Hin liye\Hin bhot\Hin bhot\Hin subhkamnaye\Hin ,26,positive
6,1134121506726748160,Yes. Great dialogues in that one. Also Chupke Chupke over Chhaddabeshi. All except R.G.V. Ke Sholay -) https//t.co/MHCBkX0SnG,Yes\Hin .\O Great\Eng dialogues\Eng in\Eng that\Eng one\Eng .\O Also\Hin Chupke\Hin Chupke\Hin over\Hin Chhaddabeshi\Hin .\O All\Eng except\Eng R\Eng .\O G\Eng .\O V\Eng .\O Ke\Hin Sholay\Hin -)\O https\Eng //\O t\Eng .\O co\Eng /\O MHCBkX0SnG\Eng ,27,positive
7,1133992269646688256,@mangeshkarlata Desh bhakti baat wahi samajh sakte hai jo khud deshbhakt                     Wo log to sirf Bharat tere tukde hong… https//t    co/rMdZSiwSGT,@\O mangeshkarlata\Hin Desh\Hin bhakti\Hin baat\Hin wahi\Hin samajh\Hin sakte\Hin hai\Hin jo\Hin khud\Hin deshbhakt\Hin Wo\Hin log\Hin to\Hin sirf\Hin Bharat\Hin tere\Hin tukde\Hin hong\Hin …\O https\Eng //\O t\Eng co\Eng /\O rMdZSiwSGT\Eng ,38,negative
8,1134427935195181056,Pakistani team ne 105 % effort ki Aagey Allah ki marziiiiiiiiiiiii 😩😫😖😣🥺 #PAKvWI #WIvPAK #CWC19 #WeHaveWeWill,Pakistani\Eng team\Eng ne\Eng 105\O %\O effort\Eng ki\Hin Aagey\Hin Allah\Hin ki\Hin marziiiiiiiiiiiii\Hin 😩😫😖😣🥺\O #\O PAKvWI\Hin #\O WIvPAK\Eng #\O CWC19\Eng #\O WeHaveWeWill\Eng ,45,positive
9,1134574398260703232,@Hussain_NSharif @MaryamNSharif Kiya tum apne baap ki oulad nahi.?? Kyun usy bay yaro madadgar chora hua. Kiya wo t… https//t.co/E1mrLMGH5c,@\O Hussain\Hin _\O NSharif\Hin @\O MaryamNSharif\Hin Kiya\Hin tum\Hin apne\Hin baap\Hin ki\Hin oulad\Hin nahi\Hin .??\O Kyun\Hin usy\Hin bay\Hin yaro\Hin madadgar\Hin chora\Hin hua\Hin .\O Kiya\Hin wo\Hin t\Eng …\O https\Eng //\O t\Eng .\O co\Eng /\O E1mrLMGH5c\Eng ,56,negative
